airline,review_score,review_date,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,has_layover,pos_neu_neg_review,recommended
Turkish Airlines,7.0,2018-11-10,Solo Leisure,Business Class,Istanbul to Baku,2018-11-01,4.0,5.0,5.0,5.0,2.0,5.0,False,pos,True
Turkish Airlines,9.0,2018-11-08,Solo Leisure,Business Class,Istanbul to Antalya,2018-11-01,5.0,5.0,4.0,3.0,5.0,5.0,False,pos,True
Turkish Airlines,2.0,2018-11-08,Family Leisure,Economy Class,Istanbul to Cairo,2018-11-01,1.0,1.0,1.0,1.0,2.0,2.0,False,neg,False
Turkish Airlines,3.0,2018-10-31,Solo Leisure,Economy Class,Paris to Istanbul via Doha,2018-10-01,2.0,2.0,4.0,3.0,1.0,3.0,True,neg,False
Turkish Airlines,7.0,2018-10-28,Couple Leisure,Economy Class,Dublin to Cape Town via Istanbul,2018-10-01,3.0,3.0,3.0,5.0,3.0,4.0,True,pos,True
Turkish Airlines,9.0,2018-10-20,Business,Business Class,Cape Town to Gatwick via Istanbul,2018-10-01,4.0,4.0,5.0,4.0,3.0,4.0,True,pos,True
Turkish Airlines,1.0,2018-10-19,Solo Leisure,Economy Class,Prague to Washington via Istanbul,2018-10-01,1.0,2.0,3.0,3.0,2.0,1.0,True,neg,False
Turkish Airlines,1.0,2018-10-17,Family Leisure,Economy Class,Lahore to Atlanta via Istanbul,2018-10-01,1.0,1.0,1.0,1.0,1.0,1.0,True,neg,False
Turkish Airlines,9.0,2018-10-16,Couple Leisure,Economy Class,Edinburgh to Thessaloniki via Istanbul,2018-10-01,4.0,5.0,4.0,5.0,5.0,4.0,True,pos,True
Turkish Airlines,9.0,2018-10-14,Solo Leisure,Economy Class,Lvov to Johannesburg via Istanbul,2018-09-01,4.0,5.0,5.0,4.0,5.0,4.0,True,pos,True
Turkish Airlines,1.0,2018-10-13,Couple Leisure,Economy Class,Istanbul to Miami,2018-10-01,1.0,1.0,1.0,1.0,1.0,1.0,False,neg,False
Turkish Airlines,1.0,2018-10-12,Couple Leisure,Economy Class,Istanbul to London,2018-10-01,1.0,1.0,1.0,1.0,1.0,1.0,False,neg,False
Turkish Airlines,9.0,2018-10-11,Couple Leisure,Economy Class,Lisbon to Sharm el-Sheikh via Istanbul,2018-09-01,3.0,5.0,5.0,5.0,4.0,4.0,True,pos,True
Turkish Airlines,5.0,2018-10-11,Business,Economy Class,Beijing to Istanbul,2018-08-01,4.0,5.0,4.0,5.0,1.0,4.0,False,neu,False
